SessionID,Severity,Code,Name,Description,ParentFile,Line,Column,Code Unit Database,Code Unit Schema,Code Unit Package,Code Unit Name,Code Unit Id,Code Unit,Code Unit Size,SourceLanguage,MigrationID
53b2786d-0a21-49d8-9dc6-c4748d4df71c,None,SSC-FDM-0019,Semantic information could not be loaded.,"SEMANTIC INFORMATION COULD NOT BE LOADED FOR ""operations"".""mv_advertiser_spend"". CHECK IF THE NAME IS INVALID OR DUPLICATED.",vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,3,3053,vevodb,operations,N/A,"mv_sp__mv_advertiser_spend__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)","vevodb.operations.mv_sp__mv_advertiser_spend__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)",CREATE PROCEDURE,XS,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'DollarStringLiteralExpr' NODE,vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,3,3619,vevodb,operations,N/A,"mv_sp__mv_advertiser_spend__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)","vevodb.operations.mv_sp__mv_advertiser_spend__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)",CREATE PROCEDURE,XS,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'DollarStringLiteralExpr' NODE,vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,3,4780,vevodb,operations,N/A,"mv_sp__mv_advertiser_spend__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)","vevodb.operations.mv_sp__mv_advertiser_spend__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)",CREATE PROCEDURE,XS,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'DollarStringLiteralExpr' NODE,vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,3,4908,vevodb,operations,N/A,"mv_sp__mv_advertiser_spend__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)","vevodb.operations.mv_sp__mv_advertiser_spend__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)",CREATE PROCEDURE,XS,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'DollarStringLiteralExpr' NODE,vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,3,5010,vevodb,operations,N/A,"mv_sp__mv_advertiser_spend__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)","vevodb.operations.mv_sp__mv_advertiser_spend__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)",CREATE PROCEDURE,XS,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'DollarStringLiteralExpr' NODE,vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,3,5141,vevodb,operations,N/A,"mv_sp__mv_advertiser_spend__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)","vevodb.operations.mv_sp__mv_advertiser_spend__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)",CREATE PROCEDURE,XS,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'DollarStringLiteralExpr' NODE,vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,3,5275,vevodb,operations,N/A,"mv_sp__mv_advertiser_spend__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)","vevodb.operations.mv_sp__mv_advertiser_spend__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)",CREATE PROCEDURE,XS,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'DollarStringLiteralExpr' NODE,vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,3,5384,vevodb,operations,N/A,"mv_sp__mv_advertiser_spend__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)","vevodb.operations.mv_sp__mv_advertiser_spend__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)",CREATE PROCEDURE,XS,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'DollarStringLiteralExpr' NODE,vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,3,5525,vevodb,operations,N/A,"mv_sp__mv_advertiser_spend__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)","vevodb.operations.mv_sp__mv_advertiser_spend__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)",CREATE PROCEDURE,XS,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'DollarStringLiteralExpr' NODE,vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,3,5660,vevodb,operations,N/A,"mv_sp__mv_advertiser_spend__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)","vevodb.operations.mv_sp__mv_advertiser_spend__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)",CREATE PROCEDURE,XS,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
