SessionID,FileName,Category,Grammar Element,File Type,Total Count,Not Converted Count (Self),Source Language,MigrationID
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/sp_generate_campaign_report.sql,Query,FROM,SQL,15,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,DML,INTO,SQL,2,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/table/ad_campaigns_history.sql,Data Type,TIMESTAMP WITH TIME ZONE,SQL,8,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,Functions & Expressions,COALESCE,SQL,6,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/sp_close_campaign.sql,DDL,CREATE PROCEDURE,SQL,5,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/sp_close_campaign.sql,DML,UPDATE,SQL,1,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/sp_close_campaign.sql,Query,SET,SQL,1,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/view/v_campaign_performance.sql,Functions & Expressions,SUM,SQL,16,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/table/ad_campaigns_history.sql,DDL Content,DEFAULT COLUMN,SQL,27,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/schema/operations.sql,DDL Content,IF NOT EXISTS,SQL,16,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/view/v_campaign_performance.sql,Query,THEN,SQL,3,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/table/ad_campaigns_history.sql,DDL Content,DEFAULT,SQL,27,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/analytics/procedure/mv_sp__mv_daily_revenue_summary__4_2_cascade.sql,Functions & Expressions,IVM_AVG_DIV,SQL,2,2,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,DDL Content,RENAME,SQL,2,2,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/sp_close_campaign.sql,Operator,AND,SQL,5,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,Operator,||,SQL,254,254,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/sp_generate_campaign_report.sql,Statement,RAISE,SQL,1,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/view/v_campaign_performance.sql,Statement - Control of Flow,SEARCHED CASE EXPRESSION,SQL,3,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/sp_generate_campaign_report.sql,Statement,DECLARE,SQL,1,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
